timestamp,ACLineStatus,BatteryFlag,BatteryLifePercent,SystemStatusFlag,BatteryLifeTime,BatteryFullLifeTime
1611163569,0,2,17,1,1157,4294967295
1611163574,0,2,17,1,1157,4294967295
1611163579,0,2,17,1,1157,4294967295
1611163584,0,2,17,1,1157,4294967295
1611163589,0,2,17,1,1157,4294967295
1611163594,0,2,17,1,1157,4294967295
1611163599,0,2,16,1,954,4294967295
1611163604,0,2,16,1,954,4294967295
1611163609,0,2,16,1,954,4294967295
1611163614,0,2,16,1,954,4294967295
1611163619,0,2,16,1,954,4294967295
1611163624,0,2,16,1,954,4294967295
1611163629,0,2,16,1,954,4294967295
1611163634,0,2,16,1,954,4294967295
1611163639,0,2,16,1,954,4294967295
1611163644,0,2,16,1,954,4294967295
1611163649,0,2,16,1,954,4294967295
1611163654,0,2,16,1,954,4294967295
1611163659,0,2,16,1,954,4294967295
1611163664,0,2,15,1,1184,4294967295
1611163669,0,2,15,1,1184,4294967295
1611163674,0,2,15,1,1184,4294967295
1611163679,0,2,15,1,1184,4294967295
1611163684,0,2,15,1,1184,4294967295
1611163689,0,2,15,1,1184,4294967295
1611163694,0,2,15,1,1184,4294967295
1611163699,0,2,15,1,1184,4294967295
1611163704,0,2,15,1,1184,4294967295
1611163709,0,2,15,1,1184,4294967295
1611163714,0,2,15,1,1184,4294967295
1611163719,0,2,14,1,1105,4294967295
1611163724,0,2,14,1,1105,4294967295
1611163729,0,2,14,1,1105,4294967295
1611163734,0,2,14,1,1105,4294967295
1611163739,0,2,14,1,1105,4294967295
1611163744,0,2,14,1,1105,4294967295
1611163749,0,2,14,1,1105,4294967295
1611163754,0,2,14,1,1105,4294967295
1611163759,0,2,14,1,1105,4294967295
1611163764,0,2,14,1,1105,4294967295
1611163769,0,2,14,1,1105,4294967295
1611163774,0,2,14,1,1105,4294967295
1611163779,0,2,14,1,981,4294967295
1611163784,0,2,13,1,1018,4294967295
1611163789,0,2,13,1,1018,4294967295
1611163794,0,2,13,1,1018,4294967295
1611163799,0,2,13,1,1018,4294967295
1611163804,0,2,13,1,1018,4294967295
1611163809,0,2,13,1,1018,4294967295
1611163814,0,2,13,1,1018,4294967295
1611163819,0,2,13,1,1018,4294967295
1611163824,0,2,13,1,1018,4294967295
1611163829,0,2,13,1,1018,4294967295
1611163834,0,2,13,1,1018,4294967295
1611163839,0,2,13,1,1018,4294967295
1611163844,0,2,13,1,1018,4294967295
1611163849,0,2,12,1,858,4294967295
1611163854,0,2,12,1,858,4294967295
1611163859,0,2,12,1,858,4294967295
1611163864,0,2,12,1,858,4294967295
1611163869,0,2,12,1,858,4294967295
1611163874,0,2,12,1,858,4294967295
1611163879,0,2,12,1,858,4294967295
1611163884,0,2,12,1,858,4294967295
1611163889,0,2,12,1,858,4294967295
1611163894,0,2,12,1,858,4294967295
1611163899,0,2,12,1,858,4294967295
1611163904,0,2,12,1,858,4294967295
1611163909,0,2,12,1,858,4294967295
1611163914,0,2,12,1,858,4294967295
1611163919,0,2,11,1,885,4294967295
1611163924,0,2,11,1,885,4294967295
1611163929,0,2,11,1,885,4294967295
1611163934,0,2,11,1,885,4294967295
1611163939,0,2,11,1,885,4294967295
1611163944,0,2,11,1,885,4294967295
1611163949,0,2,11,1,885,4294967295
1611163954,0,2,11,1,885,4294967295
1611163959,0,2,11,1,885,4294967295
1611163964,0,2,11,1,885,4294967295
1611163969,0,2,11,1,885,4294967295
1611163974,0,2,11,1,885,4294967295
1611163979,0,2,11,1,885,4294967295
1611163984,0,2,10,1,542,4294967295
1611163989,0,2,10,1,542,4294967295
1611163994,1,10,10,0,4294967295,4294967295
1611163999,1,10,10,0,4294967295,4294967295
1611164004,1,10,10,0,4294967295,4294967295
1611164009,1,10,10,0,4294967295,4294967295
1611164014,1,10,10,0,4294967295,4294967295
1611164019,1,10,10,0,4294967295,4294967295
1611164024,1,10,11,0,4294967295,4294967295
1611164029,1,10,11,0,4294967295,4294967295
1611164034,1,10,11,0,4294967295,4294967295
1611164039,1,10,11,0,4294967295,4294967295
1611164044,1,10,11,0,4294967295,4294967295
1611164049,1,10,11,0,4294967295,4294967295
1611164054,1,10,11,0,4294967295,4294967295
1611164059,1,10,11,0,4294967295,4294967295
1611164064,1,10,11,0,4294967295,4294967295
1611164069,1,10,11,0,4294967295,4294967295
1611164074,1,10,11,0,4294967295,4294967295
1611164079,1,10,11,0,4294967295,4294967295
1611164084,1,10,11,0,4294967295,4294967295
1611164089,1,10,11,0,4294967295,4294967295
1611164094,1,10,11,0,4294967295,4294967295
1611164099,1,10,11,0,4294967295,4294967295
1611164105,1,10,11,0,4294967295,4294967295
1611164110,1,10,11,0,4294967295,4294967295
1611164115,1,10,11,0,4294967295,4294967295
1611164120,1,10,11,0,4294967295,4294967295
1611164125,1,10,11,0,4294967295,4294967295
1611164130,1,10,11,0,4294967295,4294967295
1611164135,1,10,11,0,4294967295,4294967295
1611164140,1,10,11,0,4294967295,4294967295
1611164145,1,10,11,0,4294967295,4294967295
1611164150,1,10,11,0,4294967295,4294967295
1611164155,1,10,11,0,4294967295,4294967295
1611164160,1,10,11,0,4294967295,4294967295
1611164165,1,10,11,0,4294967295,4294967295
1611164170,1,10,11,0,4294967295,4294967295
1611164175,1,10,11,0,4294967295,4294967295
1611164180,1,10,11,0,4294967295,4294967295
1611164185,1,10,11,0,4294967295,4294967295
1611164190,1,10,11,0,4294967295,4294967295
